id,approved,title,type,inep,cnpj,lat,lng,address_street,address_number,address_neighborhood,address_city,address_state,address_postal_code,address_telephone,uri,description,owner_name,owner_email
1042,1,"EEEF FRANCELINA CARNEIRO SETUBAL","estadual","32038496","12345678-0478",-20.3548815,-40.2945066,"AVENIDA LEOPOLDINA","100","PRAIA DE ITAPARICA","VILA VELHA","ES","29102040","(27)33392183","","","nome_teste","ESCOLAFRANCELINA@SEDU.ES.GOV.BR"
1043,1,"EEEF FRANCISCO ALVES MENDES","estadual","32070853","12345678-0129",-20.1234387,-40.2765119,"AVENIDA HO SHI MIN","","CIDADE CONTINENTAL-SETOR ASIA","SERRA","ES","29163610","-27","","","nome_teste","ESCOLAFRANCISCOALVES@SEDU.ES.GOV.BR"
1044,1,"EEEF GALDINO ANTONIO VIEIRA","estadual","32039727","12345678-0479",-20.3445421,-40.3332113,"RUA PAULO NEVES","","SANTA RITA","VILA VELHA","ES","29118590","-27","","","nome_teste","ESCOLAGALDINO@SEDU.ES.GOV.BR"
1045,1,"EEEF GENERAL TIBURCIO","estadual","32033800","12345678-0196",-20.3464571,-40.3651323,"RUA GABINO RIOS","","PORTO DE SANTANA","CARIACICA","ES","29153010","(27)33435836","","","nome_teste","ESCOLATIBURCIO@SEDU.ES.GOV.BR"
1046,1,"EEEF GERMANO ANDRE LUBE","estadual","32037171","12345678-0130",-20.1844915,-40.2690603,"RUA GOITACASES","","DAS LARANJEIRAS","SERRA","ES","29175597","(27)32523492","","","nome_teste","ESCOLAGERMANOANDRE@SEDU.ES.GOV"
1047,1,"EEEF GLADISTON REGIS BARBOSA","estadual","32034610","12345678-0197",-20.2719319,-40.3964653,"RUA A","38","JARDIM BOTANICO","CARIACICA","ES","29142745","()33263211","","","nome_teste","ESCOLAGLADISTON@SEDU.ES.GOV.BR"
1048,1,"EEEF INAH WERNECK","estadual","32052340","12345678-0072",-20.6031279,-41.2051740,"RUA CARIRI","","AQUIDABAN","CACHOEIRO DE ITAPEMIRIM","ES","29308210","(28)35119889","","","nome_teste","email@email.com"
1049,1,"EEEF ITAOCA","estadual","32060475","12345678-0101",-20.1794416,-40.2589904,"AVENIDA ITAPEMIRIM","2100","ITAOCA","ITAPEMIRIM","ES","29330000","()35291003","","","nome_teste","ESCOLAITAOCA@SEDU.ES.GOV.BR"
1050,1,"EEEF JONES JOSE DO NASCIMENTO","estadual","32036167","12345678-0131",-20.1748722,-40.2431489,"RUA DISTRITO FEDERAL","3","CENTRAL DE CARAPINA","SERRA","ES","29161567","()33289100","","","nome_teste","ESCOLAJONESJOSE@SEDU.ES.GOV.BR"
1051,1,"EEEF JOSE DE CALDAS BRITO","estadual","32022050","12345678-0343",-18.7158919,-39.8566338,"RUA JOSE MARIA","","ARACA","LINHARES","ES","29901455","(27)33713343","","","nome_teste","ESCOLAJOSECALDAS@SEDU.ES.GOV.BR"
1052,1,"EEEF JOSE MARIA FERREIRA","estadual","32034687","12345678-0198",-20.2643105,-40.4203022,"RUA CACHOEIRO DO ITAPEMIRIM","173","NOVA BRASILIA","CARIACICA","ES","29149510","(27)33431984","","","nome_teste","ESCOLAJOSEMARIA@SEDU.ES.GOV.BR"
1053,1,"EEEF JOSE RODRIGUES COUTINHO","estadual","32033826","12345678-0199",-20.2643105,-40.4203022,"ESTRADA CANGAIBA","S/N","SANTO ANTONIO","CARIACICA","ES","29156840","-27","","","nome_teste","ESCOLAJOSECOUTINHO@SEDU.ES.GOV.BR"
1054,1,"EEEF JOSE TAVEIRA DOS SANTOS","estadual","32052375","12345678-0073",-20.7896269,-40.8139739,"RUA OLGA CONTARINI","","ABELARDO FERREIRA MACHADO","CACHOEIRO DE ITAPEMIRIM","ES","29309257","(28)35218196","","","nome_teste","ESCOLAJOSETAVEIRA@SEDU.ES.GOV.BR"
1055,1,"EEEF JUDITH LEAO CASTELLO RIBEIRO","estadual","32036175","12345678-0132",-20.2187479,-40.2276788,"RUA MIGUEL JOSÉ","","PITANGA","SERRA","ES","29169830","(27)33414755","","","nome_teste","ESCOLAJUDITHLEAO@SEDU.GOV.BR"
1056,1,"EEEF LIBERAL ZANDONADI","estadual","32030150","12345678-0030",-20.3238182,-41.1351878,"RUA DOM JOAO BATISTA","51","VILA BETANIA","VENDA NOVA DO IMIGRANTE","ES","29375000","-28","","","nome_teste","ESCOLALIBERAL@SEDU.ES.GOV.BR"
1057,1,"EEEF LUIZ DE CAMÕES","estadual","32022069","12345678-0344",-19.3798635,-40.0691476,"AVENIDA CELESTE FAE","1218","NOSSA SENHORA DA CONCEICAO","LINHARES","ES","29900526","-27","","","nome_teste","ESCOLALUIZCAMOES@SEDU.ES.GOV.BR"
1058,1,"EEEF MANOEL LOPES","estadual","32036183","12345678-0133",-20.181721,-40.2581019,"RUA 13 DE MAIO","","TAQUARA II","SERRA","ES","29167647","()33414499","","","nome_teste","ESCOLAMANOELLOPES@SEDU.ES.COM.BR"
1059,1,"EEEF MANOEL PASCHOAL DE OLIVEIRA","estadual","32033842","12345678-0200",-20.3308092,-40.4270328,"RUA PRINCIPAL","","NOVA CANAA","CARIACICA","ES","29153400","(27)33433900","","","nome_teste","ESCOLAMANOELPASCOAL@SEDU.ES.GOV.BR"
1060,1,"EEEF MANOEL ROSINDO DA SILVA","estadual","32043554","12345678-0460",-20.6741197,-40.4997382,"AVENIDA SANTANA","","MEAIPE","GUARAPARI","ES","29208180","()32721834","","","nome_teste","ESCOLAMANOELROSINDO@SEDU.ES.GOV.BR"
1061,1,"EEEF MARCONDES DE SOUZA","estadual","32057474","12345678-0114",-20.1326054,-40.3099350,"RUA JOSE GALDINO COIMBRA","","BOA ESPERANCA","MUQUI","ES","29480000","(28)35541111","","","nome_teste","ESCOLAMARCONDES@SEDU.ES.GOV.BR"
1062,1,"EEEF MARIA ERICINA SANTOS","estadual","32040377","12345678-0176",-20.2844972,-40.3770127,"RUA LAD SANTA CLARA","","PARQUE MOSCOSO","VITORIA","ES","29020680","(27)33224099","","","nome_teste","ESCOLAMARIAERICINA@SEDU.ES.GOV.BR"
1063,1,"EEEF MONTEIRO DA SILVA","estadual","32055790","12345678-0108",-21.0634107,-41.3675338,"PRACA DARCY FRANCISCO PIRES","56","CENTRO","MIMOSO DO SUL","ES","29400000","-28","","","nome_teste","ESCOLAMONTEIROSILVA@SEDU.ES.GOV.BR"
1064,1,"EEEF PATRIMONIO PRATA DOS BAIANOS","estadual","32002971","12345678-0053",-18.3385424,-41.0034737,"RUA PRINCIPAL","","PRATA DOS BAIANOS","ECOPORANGA","ES","29850000","(27)37557026","","","nome_teste","ESCOLAPATRIMONIO@SEDU.ES.GOV.BR"
1065,1,"EEEF PAUTILA RODRIGUES XAVIER","estadual","32035241","12345678-0201",-20.3361027,-40.4190164,"RUA AMAZONAS","","JARDIM AMERICA","CARIACICA","ES","29140040","(27)32360023","","","nome_teste","ESCOLAPAUTILA@SEDU.ES.GOV.BR"
1066,1,"EEEF PEDRO CANARIO RIBEIRO","estadual","32017286","12345678-0438",-18.3001965,-39.9577203,"RUA ALBERTO REIS CASTRO","102","CANARINHO","PEDRO CANARIO","ES","29970000","()37641815","","","nome_teste","ESCOLAPEDROCANARIO@SEDU.ES.GOV.BR"
1067,1,"EEEF PEDRO JOSE VIEIRA","estadual","32055811","12345678-0109",-21.0621714,-41.3647929,"RUA NAZLE ALBUT ACHA","","CENTRO","MIMOSO DO SUL","ES","29400000","-28","","","nome_teste","ESCOLAPEDROJOSE@SEDU.ES.GOV.BR"
1068,1,"EEEF PREFEITO JOSE MARIA MIGUEL FEU ROSA","estadual","32036027","12345678-0134",-20.1261897,-40.3072654,"RUA 22 DE ABRIL","","MANGUINHOS","SERRA","ES","29173041","()32450228","","","nome_teste","ESCOLAPREFEITOJOSE@SEDU.ES.GOV.BR"
1069,1,"EEEF PRESIDENTE MÉDICI","estadual","32033915","12345678-0202",-20.2618209,-40.3886165,"RUA SEBASTIAO","","PRESIDENTE MEDICI","CARIACICA","ES","29153650","(27)33434292","","","nome_teste","ESCOLAMEDICI@SEDU.ES.GOV.BR"
1070,1,"EEEF PRINCESA ISABEL","estadual","32022123","12345678-0346",-19.3951288,-40.0646549,"AVENIDA FILOGONIO PEIXOTO","1883","AVISO","LINHARES","ES","29901295","(27)33711922","","","nome_teste","ESCOLAPRINCESAISABEL@SEDU.ES.GOV.BR"
1071,1,"EEEF PROF ANNA GOMES","estadual","32036515","12345678-0136",-20.1713385,-40.2570909,"RUA SABIA","S/N","SERRA DOURADA III","SERRA","ES","29171801","-27","","","nome_teste","ESCOLAANNAGOMES@SEDU.ES.GOV.BR"
1072,1,"EEEF PROF AUGUSTO CARVALHO","estadual","32034830","12345678-0203",-20.3247382,-40.3747095,"RUA IMACULADA CONCEIÇÃO","","ITACIBA","CARIACICA","ES","29150200","(27)33430316","","","nome_teste","ESCOLAPROFAUGUSTO@SEDU.ES.GOV.BR"
1073,1,"EEEF PROF JOAO ANTUNES DAS DORES","estadual","32035500","12345678-0137",-20.1813623,-40.2115120,"ALAMEDA DOS ESTUDANTES","","PLANALTO SERRANO BLOCO A","SERRA","ES","29176970","-27","","","nome_teste","ESCOLAJOAOANTUNES@SEDU.ES.GOV.BR"
1074,1,"EEEF PROF JORGE ANIZIO BORJAILLE","estadual","32039816","12345678-0480",-20.3491427,-40.3364415,"RUA FERNANDO ANTONIO DA SILVEIRA","98","SANTA RITA","VILA VELHA","ES","29118450","(27)33398491","","","nome_teste","ESCOLAJORGEANIZIO@SEDU.ES.GOV.BR"
1075,1,"EEEF PROF MARIUZA SECHIN","estadual","32067771","12345678-0204",-20.2643105,-40.4203022,"RUA 95","","NOVA ROSA DA PENHA I","CARIACICA","ES","29156976","(27)32547910","","","nome_teste","ESCOLAMARIUZA@SEDU.ES.GOV.BR"
1076,1,"EEEF PROFª ADEVALNI AZEVEDO","estadual","32035470","12345678-0135",-20.1973242,-40.2784869,"AVENIDA VEREADOR JORGE CACULO","","CAMPINHO DA SERRA II","SERRA","ES","29176970","()32918787","","","nome_teste","ESCOLAADEVALNI@SEDU.ES.GOV.BR"
1077,1,"EEEF PROFESSOR CARLOS DIAS MIRANDA CUNHA","estadual","32007825","12345678-0401",-19.016382,-40.54164,"RUA JOSÉ ALVES","22","POPULARES","SAO GABRIEL DA PALHA","ES","29780000","-27","","","nome_teste","ESCOLACARLOSDIAS@SEDU.ES.GOV.BR"
1078,1,"EEEF PROFESSOR JOSE ZACCHI","estadual","32081286","12345678-0205",-20.1015843,-40.5285712,"AVENIDA NOSSA SENHORA DA PENHA","","FLEXAL I","CARIACICA","ES","29155599","()","","","nome_teste","email@email.com"
1079,1,"EEEF PROFESSOR LELLIS","estadual","32045344","12345678-0298",-20.7588349,-41.5357030,"RUA DR OLIVIO CORREA PEDROSA","178","CENTRO","ALEGRE","ES","29500000","(28)35524038","","","nome_teste","ESCOLALELLIS@SEDU.ES.GOV.BR"
1080,1,"EEEF PROFESSORA MARIA DA PAZ PIMENTEL","estadual","32061943","12345678-0122",-19.9375242,-40.4081412,"RUA JOÃO ARÇARI","","CENTRO","FUNDAO","ES","29188000","-27","","","nome_teste","ESCOLAMARIADAPAZ@SEDU.ES.GOV.BR"
1081,1,"EEEF REGINA BOLSSANELLO FORNAZIER","estadual","32023049","12345678-0360",-19.1902477,-40.0976990,"RUA PRINCIPAL","","JUNCADO","SOORETAMA","ES","29927000","(27)32734034","","","nome_teste","ESCOLABOLSSANELLO@SEDU.ES.COM.BR"
1082,1,"EEEF ROTARY","estadual","32052642","12345678-0076",-20.8483174,-41.1316119,"RUA NELSON BORELLI","6","OTTON MARINS","CACHOEIRO DE ITAPEMIRIM","ES","29301822","(28)35119845","","","nome_teste","ESCOLAROTARY@SEDU.ES.GOV.BR"
1083,1,"EEEF SANTA CECILIA","estadual","32052650","12345678-0077",-20.8554108,-41.1159105,"RUA CABO TAVEIRA","","SANTA CECILIA","CACHOEIRO DE ITAPEMIRIM","ES","29307530","()35170159","","","nome_teste","ESCOLASANTACECILIA@SEDU.ES.GOV.BR"
1084,1,"EEEF SANTA TEREZINHA","estadual","32002998","12345678-0054",-20.8402948,-41.1093816,"RUA SAO JOSE","S/N","CENTRO","ECOPORANGA","ES","29850000","(27)37558057","","","nome_teste","ESCOLASANTATEREZINHA@SEDU.ES.GOV.BR"
1085,1,"EEEF SAO JOSE","estadual","32043643","12345678-0461",-20.6472300,-40.5119929,"RODOVIA JONES DOS SANTOS NEVES","","SAO JOSE","GUARAPARI","ES","29200260","-27","","","nome_teste","ESCOLASJOSE@SEDU.ES.GOV.BR"
1086,1,"EEEF STELLITA RAMOS","estadual","32034920","12345678-0206",-20.3591274,-40.4383806,"RUA SILVANO FERREIRA SANTOS","","PORTO NOVO","CARIACICA","ES","29155355","(27)33434148","","","nome_teste","ESCOLASTELLITA@SEDU.ES.GOV.BR"
1087,1,"EEEF TAQUARA I","estadual","32036540","12345678-0138",-20.2131828,-40.2191227,"RUA DOS BEIJA FLORES","","TAQUARA I","SERRA","ES","29175350","()33414243","","","nome_teste","ESCOLATAQUARA@SEDU.ES.GOV.BR"
1088,1,"EEEF TIRADENTES","estadual","32034962","12345678-0207",-20.3528346,-40.3987718,"RUA FERRO E ACO","","BELA AURORA","CARIACICA","ES","29141550","-27","","","nome_teste","ESCOLATIRADENTES@SEDU.ES.GOV.BR"
1089,1,"EEEF VALERIO","estadual","32008481","12345678-0420",-18.9986221,-40.3911314,"RUA ANTONIO BARCELOS","167","VILA NOVA","VILA VALERIO","ES","29785000","(27)37281565","","","nome_teste","ESCOLAVALERIO@SEDU.ES.GOV.BR"
1090,1,"EEEF VARGEM ALEGRE","estadual","32000928","12345678-0040",-18.8081950,-40.8513116,"RUA ALFA","445","VARGEM ALEGRE","BARRA DE SAO FRANCISCO","ES","29800000","(27)37569024","","","nome_teste","ESCOLAVARGEMALEGRE@SEDU.ES.GOV.BR"
1091,1,"EEEF VENTINO DA COSTA BRANDAO","estadual","32034970","12345678-0208",-20.3612524,-40.4050624,"RUA AMAZONAS","","ROSA DA PENHA","CARIACICA","ES","29143320","(27)33430016","","","nome_teste","ESCOLAVENTINOCOSTA@SEDU.ES.GOV.BR"
1092,1,"EEEF VIRGINIO PEREIRA","estadual","32037473","12345678-0139",-20.0509347,-40.2025228,"AVENIDA EDVALDO LIMA","","NOVA ALMEIDA CENTRO","SERRA","ES","29182050","(27)32531883","","","nome_teste","ESCOLAVIRGINIO@SEDU.ES.GOV.BR"
1093,1,"EEEFM ADOLFINA ZAMPROGNO","estadual","32038852","12345678-0481",-20.3388790,-40.3395364,"RUA SEBASTIAO GAIBA","","VILA GARRIDO","VILA VELHA","ES","29116300","()33261287/33591303","","","nome_teste","ESCOLAADOLFINA@SEDU.ES.GOV.BR"
1094,1,"EEEFM AFLORDIZIO CARVALHO DA SILVA","estadual","32040695","12345678-0177",-20.3379468,-40.3972913,"RUA RUBENS BLEY","100","DA PENHA","VITORIA","ES","29047170","(27)33243032","","","nome_teste","ESCOLAAFLORDIZIO@SEDU.ES.GOV.BR"
1095,1,"EEEFM AFONSO CLAUDIO","estadual","32025920","12345678-0001",-20.0748583,-41.1273716,"RUA UTE AMELIA GASTIN PADUA","124","SAO TARCISIO","AFONSO CLAUDIO","ES","29600000","(27)37351575/37352254","","","nome_teste","ESCOLAAFONSOCLAUDIO@SEDU.ES.GOV.BR"
1096,1,"EEEFM AGENOR DE SOUZA LE","estadual","32038488","12345678-0482",-20.3461350,-40.2986337,"RUA ALAN KARDEC","","DIVINO ESPIRITO SANTO","VILA VELHA","ES","29107240","(27)33294871","","","nome_teste","ESCOLAAGENOR@SEDU.ES.GOV.BR"
1097,1,"EEEFM AGOSTINHO AGRIZZI","estadual","32059310","12345678-0119",-20.6740020,-41.0098203,"RUA PRAÇA PADRE OLIVIO","","CENTRO","VARGEM ALTA","ES","29297000","(28)35251221","","","nome_teste","ESCOLAAGRIZZI@SEDU.ES.GOV.BR"
